regime,level,smooth,method,rho,alpha,bound,actual_radius,oracle_radius,envelope_gap,parameter_gap,normalized_commutator,certificate_valid,certified,collapsed
smoothed,0.6,True,pixel_curvature_predictor,0.20601026983657833,1.7924667961575316,0.2929699697548143,0.2921514804567667,0.2270230250066792,0.0028015921629695184,0.28688039659488884,0.23923916927781372,False,False,False
smoothed,0.6,True,predict_then_certify,0.20601026983657833,1.7924667961575316,0.6292834767514439,0.2921514804567667,0.2270230250066792,1.1539629912796792,0.28688039659488884,0.23923916927781372,True,True,False
smoothed,0.6,True,predict_angular_certify,0.20601026983657833,1.7924667961575316,0.6337973543322214,0.2921514804567667,0.2270230250066792,1.1694134609254951,0.28688039659488884,0.23923916927781372,True,True,False
smoothed,0.6,True,block_resolvent,0.141809375714976,1.9243806868505196,0.5408294759455964,0.3315141111062,0.2270230250066792,0.6313920217180214,0.46026646899118084,0.23923916927781372,True,True,False
smoothed,0.6,True,block_gershgorin,0.141809375714976,1.9826669062633,0.6736291392471283,0.37184340985746006,0.2270230250066792,0.8115935939414732,0.6379105592770606,0.23923916927781372,True,True,False
smoothed,0.6,True,commutator_rectangle,0.12232333671760913,1.988736360413,0.6262945755568115,0.3488628161876046,0.2270230250066792,0.7952460007088145,0.536684731327762,0.23923916927781372,True,True,False
smoothed,0.6,True,comparison_rectangle,0.11258873497141537,1.9562914964546,0.4983973540904431,0.39302903674932155,0.2270230250066792,0.26809295876102585,0.7312298465662604,0.23923916927781372,True,True,False
smoothed,1.0,True,local_predictor,0.14399660473982773,1.9091856835270518,0.071808662726358,0.324850573692046,0.21210199316970713,-0.7789486350286343,0.5315771852842818,0.18374132618410843,False,False,False
smoothed,1.0,True,pixel_curvature_predictor,0.1914189173622899,1.7764717675116635,0.27498768072010327,0.27496246794908125,0.21210199316970713,9.16953183104601e-05,0.2963690903605897,0.18374132618410843,False,False,False
smoothed,1.0,True,predict_then_certify,0.1914189173622899,1.7764717675116635,0.5742058957665205,0.27496246794908125,0.21210199316970713,1.0883064516021672,0.2963690903605897,0.18374132618410843,True,True,False
smoothed,1.0,True,predict_angular_certify,0.1914189173622899,1.7764717675116635,0.5839069089996793,0.27496246794908125,0.21210199316970713,1.1235876785474945,0.2963690903605897,0.18374132618410843,True,True,False
smoothed,1.0,True,block_resolvent,0.14399660473982773,1.9091856835270518,0.5098912200779617,0.324850573692046,0.21210199316970713,0.5696177300315676,0.5315771852842818,0.18374132618410843,True,True,False
smoothed,1.0,True,block_gershgorin,0.1242183970223651,2.0,0.6289270703595851,0.35167760763519523,0.21210199316970713,0.788362570448296,0.6580589478657601,0.18374132618410843,True,True,False
smoothed,1.0,True,commutator_rectangle,0.1242183970223651,1.9508966825253,0.5733329773906015,0.33057659158712893,0.21210199316970713,0.7343423339141366,0.5585737156304225,0.18374132618410843,True,True,False
smoothed,1.0,True,comparison_rectangle,0.10728538609254241,1.9835002491324,0.4714226278692536,0.37878496814584484,0.21210199316970713,0.24456530093279777,0.7858623697268666,0.18374132618410843,True,True,False
smoothed,1.6,True,local_predictor,0.14480279446526143,1.9033697408152477,0.07699929682074813,0.3219958950671793,0.21527231448363626,-0.7608687005010314,0.49576082665128557,0.17129630298529855,False,False,False
smoothed,1.6,True,pixel_curvature_predictor,0.18485139776756643,1.769761939944225,0.2664709046552185,0.26647086696490097,0.21527231448363626,1.4144254478148884e-07,0.23783156976814368,0.17129630298529855,False,False,False
smoothed,1.6,True,predict_then_certify,0.18485139776756643,1.769761939944225,0.5556111311829873,0.26647086696490097,0.21527231448363626,1.085072704237388,0.23783156976814368,0.17129630298529855,True,True,False
smoothed,1.6,True,predict_angular_certify,0.18485139776756643,1.769761939944225,0.5646583681736959,0.26647086696490097,0.21527231448363626,1.1190247722204905,0.23783156976814368,0.17129630298529855,True,True,False
smoothed,1.6,True,block_resolvent,0.14480279446526143,1.9033697408152477,0.5365511838857124,0.3219958950671793,0.21527231448363626,0.6663292672528314,0.49576082665128557,0.17129630298529855,True,True,False
smoothed,1.6,True,block_gershgorin,0.1249590266069346,1.983453930851,0.6031003641061774,0.3420997040088114,0.21527231448363626,0.7629374040342445,0.5891486317197366,0.17129630298529855,True,True,False
smoothed,1.6,True,commutator_rectangle,0.1249590266069346,1.927300824118,0.5537096542753115,0.32761805761132795,0.21527231448363626,0.6901072496199491,0.5218773412511043,0.17129630298529855,True,True,False
smoothed,1.6,True,comparison_rectangle,0.10503213863931624,2.0,0.47293449052130576,0.37283205204780845,0.21527231448363626,0.2684920406485361,0.7319089681462451,0.17129630298529855,True,True,False
