n,contrast,frequency,trial,method,rho,alpha,bound,actual_radius,oracle_radius,relative_radius_gap,envelope_gap,selection_seconds,certificate_valid,collapsed
5,1.0,3,0,comparison_rectangle,0.1,2.0,0.4792617617041443,0.31174064380037814,0.1932518425728364,0.6131315471565734,0.5373733622332468,0.12093871831893921,True,False
5,4.0,0,0,local_predictor,0.3230666487398,1.9118755298655,0.4091644057239324,0.4890548700642543,0.4373388300603751,0.11825165397899778,-0.16335685263664892,0.005133390426635742,False,False
5,4.0,0,0,block_resolvent,100.0,1e-06,1.0000000118098615,0.9999999984966574,0.4373388300603751,1.2865566232904733,1.3313204114714688e-08,0.5566671770066023,True,True
5,4.0,0,0,block_gershgorin,1.228359223743,2.0,0.7829907725170888,0.7822324309188509,0.4373388300603751,0.7886187485590127,0.0009694581409098156,0.8400020524859428,True,False
5,4.0,0,0,commutator_rectangle,1.228359223743,2.0,0.7949197632737154,0.7822324309188509,0.4373388300603751,0.7886187485590127,0.016219389344368302,0.10637220740318298,True,False
5,4.0,0,0,comparison_rectangle,1.228359223743,2.0,0.7902426586707794,0.7822324309188509,0.4373388300603751,0.7886187485590127,0.010240214334400928,0.10494141280651093,True,False
5,4.0,1,0,local_predictor,0.6378418244082,1.9975940951253,0.004404385755787166,0.2941298688279583,0.2719300438177363,0.08163800034210873,-0.9850257106721678,0.029001198709011078,False,False
5,4.0,1,0,block_resolvent,0.6421029974604,2.0,0.8652188078691391,0.29358688159942753,0.2719300438177363,0.0796412102084864,1.9470622227925398,0.38931055553257465,True,False
5,4.0,1,0,block_gershgorin,0.9890584153633,2.0,0.737788305019854,0.4591608784300759,0.2719300438177363,0.688525739869453,0.606818741924263,0.9796401634812355,True,False
5,4.0,1,0,commutator_rectangle,0.6322569500721,1.8642491422705,0.7518481004859857,0.26968241797211645,0.2719300438177363,-0.008265456122701617,1.7879018073908042,0.07382569462060928,True,False
5,4.0,1,0,comparison_rectangle,0.6477430499279,1.926896519942,0.6813998701096193,0.25556006685025834,0.2719300438177363,-0.06019922159998648,1.6663002499090578,0.07643525302410126,True,False
5,4.0,3,0,local_predictor,0.6379034551505,1.997661316796,0.004280404770047541,0.4118306865748989,0.3346545998905397,0.2306141517540841,-0.9896063967315144,0.004933880642056465,False,False
5,4.0,3,0,block_resolvent,0.6420444363038,2.0,0.8652328237911386,0.41399136133234404,0.3346545998905397,0.23707058402231485,1.089977967188902,0.36841239035129547,True,False
5,4.0,3,0,block_gershgorin,0.9892292529939,2.0,0.7378272522699016,0.5805672966682772,0.3346545998905397,0.7348253896948428,0.2708729143100169,1.1851843316107988,True,False
5,4.0,3,0,commutator_rectangle,0.6475246146847,1.9203158934399,0.7774109668563132,0.44091479781140874,0.3346545998905397,0.31752200016263066,0.7631773093468117,0.09861709736287594,True,False
